obs_date,unemployment,sp500_pc1
1/1/1958,5.8,-9.5
2/1/1958,6.4,-5.1
3/1/1958,6.7,-4.4
4/1/1958,7.4,-6.0
5/1/1958,7.4,-6.6
6/1/1958,7.3,-5.9
7/1/1958,7.5,-5.2
8/1/1958,7.4,4.1
9/1/1958,7.1,11.3
10/1/1958,6.7,23.5
11/1/1958,6.2,30.1
12/1/1958,6.2,32.6
1/1/1959,6.0,35.3
2/1/1959,5.9,32.7
3/1/1959,5.6,33.3
4/1/1959,5.2,34.9
5/1/1959,5.1,32.6
6/1/1959,5.0,28.4
7/1/1959,5.1,29.9
8/1/1959,5.2,24.5
9/1/1959,5.5,16.5
10/1/1959,5.7,11.9
11/1/1959,5.8,9.0
12/1/1959,5.3,10.4
1/1/1960,5.2,4.3
2/1/1960,4.8,1.8
3/1/1960,5.4,-2.0
4/1/1960,5.2,-2.4
5/1/1960,5.1,-4.7
6/1/1960,5.4,-0.3
7/1/1960,5.5,-6.5
8/1/1960,5.6,-4.9
9/1/1960,5.5,-3.9
10/1/1960,6.1,-5.7
11/1/1960,6.1,-3.1
12/1/1960,6.6,-3.8
1/1/1961,6.6,2.9
2/1/1961,6.9,11.5
3/1/1961,6.9,16.5
4/1/1961,7.0,18.1
5/1/1961,7.1,20.4
6/1/1961,6.9,14.6
7/1/1961,7.0,17.2
8/1/1961,6.6,20.0
9/1/1961,6.7,22.7
10/1/1961,6.5,26.6
11/1/1961,6.1,28.1
12/1/1961,6.0,26.3
1/1/1962,5.8,15.7
2/1/1962,5.5,12.9
3/1/1962,5.6,9.6
4/1/1962,5.6,3.4
5/1/1962,5.5,-5.3
6/1/1962,5.5,-15.2
7/1/1962,5.4,-12.9
8/1/1962,5.7,-13.7
9/1/1962,5.6,-13.8
10/1/1962,5.4,-17.4
11/1/1962,5.7,-15.5
12/1/1962,5.5,-12.7
1/1/1963,5.7,-5.8
2/1/1963,5.9,-6.1
3/1/1963,5.7,-6.6
4/1/1963,5.7,1.0
5/1/1963,5.9,11.4
6/1/1963,5.6,26.0
7/1/1963,5.6,21.2
8/1/1963,5.4,21.3
9/1/1963,5.5,25.6
10/1/1963,5.5,30.0
11/1/1963,5.7,21.0
12/1/1963,5.5,18.4
1/1/1964,5.6,17.5
2/1/1964,5.4,17.6
3/1/1964,5.4,20.0
4/1/1964,5.3,16.3
5/1/1964,5.1,15.1
6/1/1964,5.2,14.4
7/1/1964,4.9,20.5
8/1/1964,5.0,15.5
9/1/1964,5.1,14.5
10/1/1964,5.1,16.2
11/1/1964,4.8,17.7
12/1/1964,5.0,13.2
1/1/1965,4.9,12.6
2/1/1965,5.1,11.9
3/1/1965,4.7,10.2
4/1/1965,4.8,10.0
5/1/1965,4.6,10.6
6/1/1965,4.6,6.0
7/1/1965,4.4,2.0
8/1/1965,4.4,5.5
9/1/1965,4.3,7.2
10/1/1965,4.2,7.7
11/1/1965,4.1,7.9
12/1/1965,4.0,9.3
1/1/1966,4.0,8.4
2/1/1966,3.8,6.8
3/1/1966,3.8,2.4
4/1/1966,3.8,4.1
5/1/1966,3.9,-2.8
6/1/1966,3.8,1.2
7/1/1966,3.8,1.1
8/1/1966,3.8,-6.8
9/1/1966,3.7,-12.9
10/1/1966,3.7,-15.6
11/1/1966,3.6,-12.1
12/1/1966,3.8,-11.3
1/1/1967,3.9,-9.5
2/1/1967,3.8,-5.8
3/1/1967,3.8,0.6
4/1/1967,3.8,-0.7
5/1/1967,3.8,6.7
6/1/1967,3.9,6.2
7/1/1967,3.8,8.4
8/1/1967,3.8,17.2
9/1/1967,3.8,23.1
10/1/1967,4.0,24.0
11/1/1967,3.9,14.4
12/1/1967,3.8,17.2
1/1/1968,3.7,12.5
2/1/1968,3.8,3.9
3/1/1968,3.7,-0.4
4/1/1968,3.5,5.2
5/1/1968,3.5,5.7
6/1/1968,3.7,10.0
7/1/1968,3.7,7.8
8/1/1968,3.5,3.8
9/1/1968,3.4,5.8
10/1/1968,3.4,8.5
11/1/1968,3.4,13.7
12/1/1968,3.4,11.7
1/1/1969,3.4,7.4
2/1/1969,3.4,11.7
3/1/1969,3.4,11.5
4/1/1969,3.4,5.8
5/1/1969,3.4,6.9
6/1/1969,3.5,-1.4
7/1/1969,3.5,-5.6
8/1/1969,3.5,-4.0
9/1/1969,3.7,-6.7
10/1/1969,3.7,-7.9
11/1/1969,3.5,-8.7
12/1/1969,3.5,-14.4
1/1/1970,3.9,-11.5
2/1/1970,4.2,-14.0
3/1/1970,4.4,-10.7
4/1/1970,4.6,-15.1
5/1/1970,4.8,-27.3
6/1/1970,4.9,-23.8
7/1/1970,5.0,-20.1
8/1/1970,5.1,-17.3
9/1/1970,5.4,-12.6
10/1/1970,5.5,-11.7
11/1/1970,5.9,-12.4
12/1/1970,6.1,-1.2
1/1/1971,5.9,3.5
2/1/1971,5.9,11.4
3/1/1971,6.0,12.4
4/1/1971,5.9,19.9
5/1/1971,5.9,33.7
6/1/1971,5.9,31.9
