stem,group
afraid,emo-neg
alon,emo-neg
anger,emo-neg
angri,emo-neg
cri,emo-neg
cryin,emo-neg
depress,emo-neg
empti,emo-neg
fear,emo-neg
guilt,emo-neg
helpless,emo-neg
horror,emo-neg
jealous,emo-neg
lonesom,emo-neg
mourn,emo-neg
nervous,emo-neg
nightmar,emo-neg
pain,emo-neg
rage,emo-neg
sad,emo-neg
scare,emo-neg
sorrow,emo-neg
suffer,emo-neg
weep,emo-neg
beauti,emo-pos
brave,emo-pos
calm,emo-pos
comfort,emo-pos
confid,emo-pos
courag,emo-pos
delight,emo-pos
enjoy,emo-pos
excit,emo-pos
familiar,emo-pos
fun,emo-pos
funni,emo-pos
gentl,emo-pos
glad,emo-pos
happi,emo-pos
joy,emo-pos
laugh,emo-pos
laughter,emo-pos
passion,emo-pos
pleasur,emo-pos
pretti,emo-pos
proud,emo-pos
quiet,emo-pos
relax,emo-pos
satisfi,emo-pos
cell,out-neg
danger,out-neg
despair,out-neg
desper,out-neg
doom,out-neg
hopeless,out-neg
jail,out-neg
lost,out-neg
prison,out-neg
dreamer,out-pos
fantasi,out-pos
forev,out-pos
grow,out-pos
imag,out-pos
imagin,out-pos
luck,out-pos
lucki,out-pos
paradis,out-pos
possibl,out-pos
seed,out-pos
