key	stem
1	i
2	the
3	you
4	to
5	and
6	a
7	me
8	it
9	not
10	in
11	my
12	is
13	of
14	your
15	that
16	do
17	on
18	are
19	we
20	am
21	will
22	all
23	for
24	no
25	be
26	have
27	love
28	so
29	know
30	this
31	but
32	with
33	what
34	just
35	when
36	like
37	now
38	que
39	time
40	can
41	come
42	de
43	there
44	go
45	up
46	oh
47	la
48	one
49	they
50	out
51	down
52	get
53	she
54	was
55	see
56	if
57	got
58	never
59	from
60	he
61	feel
62	want
63	let
64	make
65	way
66	say
67	take
68	would
69	as
70	ca
71	day
72	at
73	babi
74	away
75	life
76	yeah
77	y
78	back
79	by
80	her
81	heart
82	here
83	how
84	could
85	night
86	need
87	our
88	look
89	where
90	en
91	eye
92	thing
93	world
94	more
95	caus
96	gonna
97	die
98	right
99	been
100	tell
101	think
102	un
103	who
104	el
105	through
106	man
107	live
108	again
109	give
110	too
111	onli
112	te
113	tri
114	tu
115	or
116	whi
117	se
118	keep
119	dream
120	well
121	mind
122	an
123	wo
124	still
125	us
126	his
127	long
128	mi
129	girl
130	wanna
131	find
132	fall
133	around
134	good
135	about
136	some
137	over
138	littl
139	turn
140	hand
141	then
142	noth
143	light
144	said
145	call
146	everi
147	alway
148	were
149	did
150	into
151	e
152	wait
153	leav
154	home
155	had
156	hold
157	run
158	es
159	walk
160	ever
161	them
162	lie
163	face
164	end
165	hear
166	gone
167	head
168	believ
169	everyth
170	ya
171	has
172	cri
173	alon
174	yo
175	hey
176	their
177	le
178	someth
179	si
180	insid
181	du
182	befor
183	o
184	word
185	stay
186	place
187	much
188	chang
189	ich
190	god
191	stand
192	these
193	better
194	last
195	friend
196	soul
197	anoth
198	je
199	left
200	new
201	him
202	than
203	stop
204	tonight
205	burn
206	sun
207	off
208	por
209	lo
210	play
211	thought
212	sing
213	show
214	lost
215	peopl
216	made
217	break
218	und
219	start
220	should
221	realli
222	chorus
223	hard
224	sky
225	old
226	da
227	even
228	boy
229	pleas
230	song
231	care
232	without
233	hope
234	watch
235	pain
236	amor
237	move
238	wrong
239	put
240	free
241	gotta
242	name
243	et
244	same
245	blue
246	con
247	danc
248	talk
249	seem
250	own
251	mine
252	dark
253	na
254	far
255	tear
256	TRUE
257	fire
258	use
259	dead
260	bring
261	fuck
262	other
263	sin
264	someon
265	myself
266	forev
267	close
268	sleep
269	rain
270	those
271	must
272	una
273	les
274	sweet
275	mean
276	fight
277	rememb
278	star
279	while
280	kiss
281	kill
282	high
283	breath
284	doe
285	yes
286	al
287	wish
288	che
289	real
290	smile
291	two
292	cold
293	lord
294	year
295	open
296	il
297	fear
298	di
299	done
300	side
301	fli
302	black
303	line
304	rock
305	blood
306	lose
307	found
308	onc
309	non
310	door
311	bad
312	ooh
313	wonder
314	ti
315	como
316	enough
317	para
318	sound
319	togeth
320	mayb
321	los
322	help
323	shine
324	mani
325	heaven
326	becaus
327	work
328	touch
329	behind
330	yourself
331	today
332	big
333	might
334	death
335	hate
336	miss
337	ride
338	street
339	came
340	ask
341	hide
342	everybodi
343	save
344	till
345	may
346	beauti
347	roll
348	sure
349	deep
350	arm
351	son
352	wind
353	bodi
354	forget
355	happi
356	understand
357	ai
358	best
359	ma
360	town
361	war
362	ah
363	listen
364	seen
365	der
366	sometim
367	lone
368	hell
369	morn
370	until
371	set
372	hurt
373	told
374	first
375	knew
376	goe
377	round
378	em
379	alright
380	music
381	sea
382	truth
383	qui
384	beat
385	nicht
386	eu
387	las
388	todo
389	pass
390	under
391	del
392	late
393	after
394	ani
395	ground
396	fool
397	pas
398	broken
399	goodby
400	das
401	des
402	kind
403	wall
404	angel
405	est
406	road
407	reason
408	dan
409	money
410	chanc
411	quiero
412	mai
413	part
414	matter
415	learn
416	els
417	rise
418	pour
419	saw
420	grow
421	ha
422	sit
423	land
424	fade
425	air
426	took
427	nobodi
428	ne
429	fill
430	easi
431	game
432	follow
433	wake
434	anyth
435	aliv
436	solo
437	water
438	heard
439	though
440	white
441	vida
442	ist
443	voic
444	woman
445	blind
446	each
447	citi
448	young
449	lay
450	moon
451	reach
452	readi
453	fine
454	soon
455	shit
456	along
457	à
458	crazi
459	past
460	red
461	room
462	such
463	ein
464	step
465	scream
466	tomorrow
467	control
468	memori
469	strong
470	hit
471	everyon
472	wast
473	não
474	men
475	earth
476	s
477	upon
478	final
479	shake
480	im
481	abov
482	ja
483	moment
484	rest
485	guess
486	hous
487	born
488	somebodi
489	feet
490	mas
491	sad
492	laugh
493	esta
494	happen
495	went
496	cest
497	blow
498	noch
499	meet
500	whole
501	lover
502	drive
503	car
504	lead
505	su
506	veri
507	ni
508	promis
509	bed
510	apart
511	um
512	empti
513	shadow
514	full
515	begin
516	pull
517	child
518	pretti
519	drink
520	pray
521	king
522	cut
523	t
524	power
525	gave
526	hay
527	peac
528	hang
529	next
530	ser
531	mother
532	é
533	cuando
534	between
535	pay
536	carri
537	tire
538	speak
539	lot
540	tree
541	den
542	skin
543	tout
544	til
545	slow
546	sinc
547	anymor
548	kid
549	clear
550	mich
551	jesus
552	differ
553	fast
554	becom
555	nigga
556	va
557	gun
558	nos
559	zu
560	más
561	river
562	faith
563	floor
564	cross
565	ladi
566	near
567	fun
568	ring
569	answer
570	pero
571	afraid
572	jag
573	repeat
574	great
575	stori
576	yet
577	cannot
578	hot
579	wir
580	nada
581	hour
582	summer
583	stone
584	bleed
585	sign
586	mir
587	lyric
588	children
589	trust
590	wild
591	felt
592	troubl
593	honey
594	sick
595	perfect
596	human
597	bright
598	bien
599	mama
600	dich
601	parti
602	train
