artist,track,date,danceability,energy,mood,track_id,mxm_track_id
Sheb Wooley,The Purple People Eater,6/9/1958,0.67,0.64,0.29,TRANSXB128F934A807,10018549
David Seville,Witch Doctor,4/28/1958,0.63,0.62,0.88,TRILUKN128F422B7F0,9001554
Ricky Nelson,Poor Little Fool,8/4/1958,0.44,0.2,0.75,TRDJPVU128F145AECD,665190
Conway Twitty,It's Only Make Believe,11/10/1958,0.45,0.4,0.39,TRABEEJ12903C9748C,2651960
Jerry Lee Lewis,Great Balls Of Fire,1/6/1958,0.34,0.95,0.81,TRJVUIU12903CD6DBE,9331266
Ricky Nelson,Stood Up,1/13/1958,0.67,0.39,0.96,TRBEQWP128F93161F7,9331214
Chuck Berry,Sweet Little Sixteen,3/17/1958,0.47,0.81,0.83,TRQYKVG128EF34A51A,3897476
Jimmie Rodgers,Secretly,6/16/1958,0.72,0.39,0.41,TRXXOQS128F930101A,8601886
Royal Teens,Short Shorts,2/10/1958,0.75,0.94,0.91,TRTEGAD128F934DE6A,6342918
Andy Williams,Are You Sincere,3/22/1958,0.39,0.16,0.21,TRLZLOX128F92FE976,2925081
Jimmy Clanton,Just A Dream,8/25/1958,0.51,0.21,0.9,TRAHPUB12903CA9DE4,7640021
Elvis Presley,One Night,12/15/1958,0.54,0.19,0.71,TRCUPCW12903D071C4,5163804
Connie Francis,Who's Sorry Now,3/24/1958,0.49,0.47,0.57,TRKAUSB128F92C72B8,8849342
Little Anthony and the Imperials,Tears On My Pillow,10/13/1958,0.44,0.18,0.41,TRBPMBC128F932D478,6030048
Ricky Nelson,Believe What You Say,4/21/1958,0.54,0.91,0.74,TRAPZVA128F145AECF,665187
Kalin Twins,When,8/4/1958,0.61,0.4,0.87,TRERVVY128F9332207,13494242
Jody Reynolds,Endless Sleep,6/30/1958,0.52,0.19,0.54,TRJJWQF12903CD4E25,8044158
Robin Luke,Susie Darlin',10/13/1958,0.75,0.31,0.75,TRASNEZ12903C973E4,10018550
Bobby Freeman,Do You Want To Dance,6/9/1958,0.5,0.66,0.94,TRGBMDY128F932D49D,6030053
Perry Como,Kewpie Doll,5/12/1958,0.74,0.46,0.88,TRZHAYC12903D04C2B,3249327
Big Bopper,Chantilly Lace,11/3/1958,0.53,0.74,0.9,TREIZPA12903CD5624,9331256
Paul Anka,You Are My Destiny,2/24/1958,0.33,0.17,0.54,TRCNAKS12903D0C3D6,902415
