Year,Yearly Rank,Source,Prefix,CH,40,10,PK,High,Verified,Artist,Artist Inverted,Featured,UnFeatured,Album,B-Side,Track,Time,Time Source,explicit,Time (Album),Artist ID,SYMBL,ReIssue,Label/Number,Media,Stereo (55-68),Pic Sleeve,Genre,Comments,Written By,Temp 1,Date Entered,Date Peaked,1st Week,2nd Week,3rd Week,4th Week,5th Week,6th Week,7th Week,8th Week,9th Week,10th Week,11th Week,12th Week,13th Week,14th Week,15th Week,16th Week,17th Week,18th Week,19th Week,20th Week,21st Week,22nd Week,23rd Week,24th Week,25th Week,26th Week,27th Week,28th Week,29th Week,30th Week,31st Week,32nd Week,33rd Week,34th Week,35th Week,36th Week,37th Week,38th Week,39th Week,40th Week,41st Week,42nd Week,43rd Week,44th Week,45th Week,46th Week,47th Week,48th Week,49th Week,50th Week,51st Week,52nd Week,53rd Week,54th Week,55th Week,56th Week,57th Week,58th Week,59th Week,60th Week,61st Week,62nd Week,63rd Week,64th Week,65th Week,66th Week,67th Week,68th Week,69th Week,70th Week,71st Week,72nd Week,73rd Week,74th Week,75th Week,76th Week,77th Week,78th Week,79th Week,80th Week,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,162,h,2014-001,9,0,0,2,75,,Scotty McCreery,"McCreery, Scotty",,,s,,See You Tonight,3:49,,,,8174,,,19 Digital,DD,,,,,"S.McCreery, A.Gorley, Z.Crowell",155,4/27/2013,2/1/2014,94,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,86,86,79,82,84,75,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,199,h,2014-002,29,0,0,1,53,,B.o.B ,B.o.B ,Featuring 2 Chainz,,s,,HeadBand,3:39,,xc,,8065,,,RebelRock/Grand Hustle Digital,DD,,,,,"B.R.Simmons, Jr., D.McFarlane, T.Epps, C.Montgomery III, S.Cox, T.Griffin, M.Adam",722,6/8/2013,1/11/2014,65,79,,94,,,98,99,92,85,72,64,68,71,67,66,71,74,79,82,82,81,81,78,78,80,79,73,68,68,60,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,226,h,2014-003,32,21,14,2,2,,OneRepublic,OneRepublic,,,Native (Deluxe Version),,Counting Stars,4:17,,,,7929,,,Mosley Digital,DD,,,,,R.B.Tedder,2296,7/6/2013,1/18/2014,32,69,80,71,70,76,67,60,57,54,55,41,38,28,22,21,19,15,8,9,7,6,4,5,3,3,3,3,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,285,h,2014-004,26,18,9,2,6,,Passenger,Passenger,,,All The Little Lights,,Let Her Go,4:12,,,,8311,,,Black Crow Digital,DD,,,,,M.Rosenberg,1864,8/17/2013,1/25/2014,95,86,74,62,63,52,43,44,38,28,25,19,17,12,12,11,10,13,9,9,7,7,7,6,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,296,h,2014-005,24,9,2,2,10,,Bastille,Bastille,,,Haunt - EP,,Pompeii,3:34,,,,8312,,,Virgin Digital,DD,,,,,D.Smith,1137,8/31/2013,2/1/2014,95,87,88,72,74,73,74,78,77,74,73,72,66,53,48,38,29,24,21,21,18,12,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,300,h,2014-006,21,1,0,1,40,,Zendaya,Zendaya,,,Zendaya,,Replay,3:29,,,,8313,,,Hollywood Digital,DD,,,,,"M.Schultz,T. Fred,P. Shelton,Zendaya",701,9/7/2013,1/11/2014,77,76,73,68,61,92,68,65,70,80,77,74,73,84,70,67,69,49,40,42,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,317,h,2014-007,16,1,0,1,27,,John Legend,"Legend, John",,,Love In The Future (Deluxe Edition),,All Of Me,4:29,,,,6801,,,G.O.O.D. Digital,DD,,,,,"John Legend,T. Gad",509,9/21/2013,2/8/2014,97,,,,,89,100,,97,97,66,68,72,56,52,55,68,60,54,49,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,321,h,2014-008,19,12,0,1,18,,Zedd,Zedd,Featuring Hayley Williams Of Paramore,,Clarity (Deluxe Edition),,Stay The Night,3:37,,,,8286,,,Interscope Digital,DD,,,,,"A.Zaslavski,B.E.Hannah,H.Williams,C.Faye",1161,9/28/2013,1/25/2014,51,,86,94,79,69,58,51,34,22,22,19,20,19,22,27,23,18,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,332,h,2014-009,19,13,4,1,1,,Katy Perry,"Perry, Katy",Featuring Juicy J,,PRISM (Deluxe Version),,Dark Horse,3:35,,,,7961,,,Capitol Digital,DD,,,,,"J.Houston,L.Gottwald,S.T.Hudson,Max Martin,H.Walter",1365,10/5/2013,2/8/2014,17,39,38,60,57,28,43,50,47,42,37,36,22,14,11,6,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,336,h,2014-010,11,0,0,1,66,,Daughtry,Daughtry,,,s,,Waiting For Superman,4:26,,,,7813,,,19 Digital,DD,,,,,"C.Daughtry,M.Johnson,S.Hollander",197,10/5/2013,1/18/2014,70,,,,,,,,100,83,94,100,,95,87,66,73,74,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
